15
15
17
12,7
1,0
0,6
0,6
7,8
7,13
3,13
13,10
0,9
3,8
7,5
12,4
3,3
2,8
7,2
4,9
12,10
2,7
3,11
11,3
1,12
11,0
5,7
12,5
11,12
8,11
9,3
13,0
14,8
13,12
0,2
12,11
13,0
2,3
8,2
2,5
12,7
12,8
5,9
2,10
7,12
5,9
0,6
8,4
0,3
3,6
12,2
1,0
2,5
8,11
11,10
12,7
2,10
8,11
5,7
3,8
3,0
13,10
4,2
13,11
11,9
3,1
13,1
5,7
1,0
13,2
9,4
4,13
8,9
8,7
4,3
9,9
9,9
4,13
14,2
13,12
1,3
0,4
11,14
3,11
11,10
13,0
5,13
12,2
4,10
10,12
7,1
4,10
11,8
8,14
14,9
10,6
12,8
14,6
14,1
11,7
13,3
3,13
1,8
0,5
1,11
11,4
3,9
2,10
14,0
8,2
6,8
9,6
3,1
7,1
4,3
5,2
12,8
5,13
13,14
8,5
11,7
6,4
13,4
7,3
1,12
13,5
11,7
4,2
12,3
1,7
2,8
4,1
12,3
9,14
13,1
11,9
13,3
2,10
13,5
5,0
2,5
6,11
8,3
1,13
3,13
14,1
11,5
3,14
14,3
7,6
8,4
0,11
4,3
1,12
3,11
5,3
11,9
1,4
8,14
3,4
11,14
12,0
13,3
12,3
7,6
7,0
6,8
1,2
5,5
5,7
3,6
7,4
4,7
9,3
1,10
5,14
9,2
11,14
2,10
1,12
6,9
8,5
14,12
9,9
6,3
0,8
7,13
5,7
1,5
6,0
1,11
4,11
0,7
0,14
14,6
10,5
8,10
11,6
6,12
5,12
2,8
9,5
12,0
10,8
13,0
11,14
9,10
14,13
